Pango.lineage	Pango.lineage.original
C.1	B.1.1.1.1
C.1.1	B.1.1.1.1.1
C.1.2	B.1.1.1.1.2
C.2	B.1.1.1.2
C.2.1	B.1.1.1.2.1
C.3	B.1.1.1.3
C.4	B.1.1.1.4
C.5	B.1.1.1.5
C.6	B.1.1.1.6
C.7	B.1.1.1.7
C.8	B.1.1.1.8
C.9	B.1.1.1.9
C.10	B.1.1.1.10
C.11	B.1.1.1.1
C.12	B.1.1.1.12
C.13	B.1.1.1.13
C.14	B.1.1.1.14
C.16	B.1.1.1.16
C.17	B.1.1.1.17
C.18	B.1.1.1.18
C.19	B.1.1.1.19
C.20	B.1.1.1.20
C.21	B.1.1.1.21
C.22	B.1.1.1.22
C.23	B.1.1.1.23
C.25	B.1.1.1.25
C.26	B.1.1.1.26
C.27	B.1.1.1.27
C.28	B.1.1.1.28
C.29	B.1.1.1.29
C.30	B.1.1.1.30
C.30.1	B.1.1.1.30.1
C.31	B.1.1.1.31
C.32	B.1.1.1.32
C.33	B.1.1.1.33
C.34	B.1.1.1.34
C.35	B.1.1.1.35
C.36	B.1.1.1.36
C.36.1	B.1.1.1.36.1
C.36.2	B.1.1.1.36.2
C.36.3	B.1.1.1.36.3
C.36.3.1	B.1.1.1.36.3.1
C.37	B.1.1.1.37
C.37.1	B.1.1.1.37.1
C.38	B.1.1.1.38
C.39	B.1.1.1.39
C.40	B.1.1.1.40
Q.1	B.1.1.7.1
Q.2	B.1.1.7.2
Q.3	B.1.1.7.3
Q.4	B.1.1.7.4
Q.5	B.1.1.7.5
Q.6	B.1.1.7.6
Q.7	B.1.1.7.7
Q.8	B.1.1.7.8
L.1	B.1.1.10.1
L.2	B.1.1.10.2
L.3	B.1.1.10.3
D.2	B.1.1.25.2
D.3	B.1.1.25.3
D.4	B.1.1.25.4
D.5	B.1.1.25.5
P.1	B.1.1.28.1
P.1.1	B.1.1.28.1.1
P.1.2	B.1.1.28.1.2
P.1.3	B.1.1.28.1.3
P.1.4	B.1.1.28.1.4
P.1.5	B.1.1.28.1.5
P.1.6	B.1.1.28.1.6
P.1.7	B.1.1.28.1.7
P.1.7.1	B.1.1.28.1.7.1
P.1.8	B.1.1.28.1.8
P.1.9	B.1.1.28.1.9
P.1.10	B.1.1.28.1.10
P.1.10.1	B.1.1.28.1.10.1
P.1.10.2	B.1.1.28.1.10.2
P.1.11	B.1.1.28.1.11
P.1.12	B.1.1.28.1.12
P.1.13	B.1.1.28.1.13
P.1.14	B.1.1.28.1.14
P.1.15	B.1.1.28.1.15
P.1.16	B.1.1.28.1.16
P.1.17	B.1.1.28.1.17
P.1.17.1	B.1.1.28.1.17.1
P.2	B.1.1.28.2
P.3	B.1.1.28.3
P.4	B.1.1.28.4
P.5	B.1.1.28.5
P.6	B.1.1.28.6
P.7	B.1.1.28.7
N.1	B.1.1.33.1
