country	group	Collection.date	mean	freq.class
Australia	others	2022-11-15	0.6778216345	>50%
Austria	others	2022-11-11	0.607044309	>50%
Bangladesh	others	2022-09-24	0.001982146003325	<1%
Belgium	others	2022-11-15	0.3966851725	>20%
Brazil	others	2022-11-15	0.31770556475	>20%
Brunei	others	2022-10-26	0.5397811805	>50%
Canada	others	2022-11-15	0.6531331995	>50%
Chile	others	2022-11-15	0.768367548	>50%
Croatia	others	2022-11-02	0.750704297	>50%
Czech Republic	others	2022-11-07	0.78697347075	>50%
Denmark	others	2022-11-15	0.56064762	>50%
Dominican Republic	others	2022-11-02	0.049636336675	>1%
Ecuador	others	2022-11-03	0.12515858415	>10%
Finland	others	2022-11-11	0.595336144	>50%
France	others	2022-11-15	0.25486558	>20%
Germany	others	2022-11-15	0.7760565345	>50%
Hong Kong	others	2022-11-15	0.319270561	>20%
Iceland	others	2022-11-15	0.2758585955	>20%
India	others	2022-11-11	0.090738222	>1%
Indonesia	others	2022-11-15	0.19062935775	>10%
Ireland	others	2022-11-15	0.25660710125	>20%
Israel	others	2022-11-15	0.36575267	>20%
Italy	others	2022-11-15	0.54710624775	>50%
Japan	others	2022-11-15	0.8940654525	>50%
Kenya	others	2022-09-23	0.10630048825	>10%
Luxembourg	others	2022-11-06	0.5605363165	>50%
Malaysia	others	2022-11-15	0.225036591	>20%
Mexico	others	2022-11-15	0.56073391875	>50%
Netherlands	others	2022-11-15	0.4908059015	>20%
Nigeria	others	2022-09-20	0.004287408529025	<1%
Norway	others	2022-11-14	0.2757088605	>20%
Peru	others	2022-11-15	0.23050153975	>20%
Portugal	others	2022-11-05	0.27929264775	>20%
Puerto Rico	others	2022-10-18	0.58554557175	>50%
Reunion	others	2022-10-19	0.341457771	>20%
Singapore	others	2022-11-15	0.1347541415	>10%
South Africa	others	2022-11-11	0.84480572825	>50%
South Korea	others	2022-11-09	0.8971479485	>50%
Spain	others	2022-11-15	0.21019436925	>20%
Sweden	others	2022-11-15	0.48128550575	>20%
Switzerland	others	2022-11-15	0.48897727325	>20%
Turkey	others	2022-09-04	0.4938247355	>20%
UK	others	2022-11-15	0.3812551255	>20%
USA	others	2022-11-15	0.4404332635	>20%
Costa Rica	others	NA	0	<1%
Estonia	others	NA	0	<1%
Greece	others	2022-10-01	0.81803443875	>50%
New Zealand	others	NA	0	<1%
Philippines	others	2022-10-16	0.133999672575	>10%
Poland	others	2022-11-15	0.91351773375	>50%
Romania	others	2022-11-12	0.6784061695	>50%
Russia	others	NA	0	<1%
Slovakia	others	NA	0	<1%
Slovenia	others	2022-11-01	0.825350078	>50%
Thailand	others	NA	0	<1%
Vietnam	others	NA	0	<1%
Australia	BQ.1	2022-11-15	0.2529132825	>20%
Austria	BQ.1	2022-11-11	0.23302238625	>20%
Bangladesh	BQ.1	NA	0	<1%
Belgium	BQ.1	2022-11-15	0.5711042155	>50%
Brazil	BQ.1	2022-11-15	0.68229443525	>50%
Brunei	BQ.1	NA	0	<1%
Canada	BQ.1	2022-11-15	0.34018343175	>20%
Chile	BQ.1	2022-11-15	0.231632452	>20%
Croatia	BQ.1	2022-11-02	0.249295703	>20%
Czech Republic	BQ.1	2022-11-07	0.21302652925	>20%
Denmark	BQ.1	2022-11-15	0.39914686375	>20%
Dominican Republic	BQ.1	2022-11-02	0.224543021175	>20%
Ecuador	BQ.1	2022-11-03	0.87484141775	>50%
Finland	BQ.1	2022-11-11	0.2428950375	>20%
France	BQ.1	2022-11-15	0.72840095375	>50%
Germany	BQ.1	2022-11-15	0.21589407475	>20%
Hong Kong	BQ.1	2022-11-15	0.680729439	>50%
Iceland	BQ.1	2022-11-15	0.7241414045	>50%
India	BQ.1	NA	0	<1%
Indonesia	BQ.1	2022-11-15	0.29237953975	>20%
Ireland	BQ.1	2022-11-15	0.70503760175	>50%
Israel	BQ.1	2022-11-15	0.581943658	>50%
Italy	BQ.1	2022-11-15	0.41990943625	>20%
Japan	BQ.1	2022-11-15	0.09455661945	>1%
Kenya	BQ.1	2022-09-23	0.89369951275	>50%
Luxembourg	BQ.1	2022-11-06	0.4394636835	>20%
Malaysia	BQ.1	2022-11-15	0.1343242557	>10%
Mexico	BQ.1	2022-11-15	0.43926608125	>20%
Netherlands	BQ.1	2022-11-15	0.431646619	>20%
Nigeria	BQ.1	2022-09-20	0.99571258875	>50%
Norway	BQ.1	2022-11-14	0.653112944	>50%
Peru	BQ.1	2022-11-15	0.33046103375	>20%
Portugal	BQ.1	2022-11-05	0.72070735225	>50%
Puerto Rico	BQ.1	2022-10-18	0.41445442825	>20%
Reunion	BQ.1	2022-10-19	0.658542229	>50%
Singapore	BQ.1	2022-11-15	0.28039680375	>20%
South Africa	BQ.1	2022-11-11	0.15519427195	>10%
South Korea	BQ.1	2022-11-09	0.0730145296	>1%
