Table key:
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary
               process other than recombination.
*            = The actual breakpoint position is undetermined (it was most likely either overprinted by a subsequent 
               recombination event or off the edges of the analysed sequence fragments).
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant)
Minor Parent = Parent contributing the smaller fraction of sequence.
Major Parent = Parent contributing the larger fraction of sequence.
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.
NS           = No significant P-value was recorded for this recombination event using the particular method in question.

,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to EPI_ISL_14166909|BJ.1,,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1~, 22920*, 118, 22861*, 80, 22845*, 64,^EPI_ISL_14914848|XBB,EPI_ISL_15160229|BM.1.1,EPI_ISL_15157657|BJ.1, 3.50509412951078E-02,NS,NS, 1.42434570767707E-06, 6.80764164881507E-06, 4.39578705797905E-06,NS,NS, 2.08839530113636E-08,
 1,,,,,,,,EPI_ISL_14914850|XBB,EPI_ISL_14166909|BJ.1,EPI_ISL_14332689|BM.1
 1,,,,,,,,EPI_ISL_14917652|XBB.1,EPI_ISL_14167044|BJ.1,EPI_ISL_14445845|BM.1.1
 1,,,,,,,,EPI_ISL_14917728|XBB,EPI_ISL_14303108|BJ.1,EPI_ISL_14486513|BM.1
 1,,,,,,,,EPI_ISL_14917761|XBB.1,EPI_ISL_14303176|BJ.1,EPI_ISL_14496331|BM.1.1
 1,,,,,,,,EPI_ISL_14987869|XBB,EPI_ISL_14303196|BJ.1,EPI_ISL_14541115|BM.1
 1,,,,,,,,EPI_ISL_14987876|XBB,EPI_ISL_14303283|BJ.1,EPI_ISL_14549715|BM.1.1
 1,,,,,,,,EPI_ISL_15000639|XBB,EPI_ISL_14305185|BJ.1,EPI_ISL_14549716|BM.1.1
 1,,,,,,,,EPI_ISL_15031191|XBB.1,EPI_ISL_14459008|BJ.1,EPI_ISL_14602050|BM.1
 1,,,,,,,,EPI_ISL_15031192|XBB.1,EPI_ISL_14733713|BJ.1,EPI_ISL_14603944|BM.1
 1,,,,,,,,EPI_ISL_15031193|XBB.1,EPI_ISL_14733812|BJ.1,EPI_ISL_14649904|BM.1
 1,,,,,,,,EPI_ISL_15031194|XBB.1,EPI_ISL_14733814|BJ.1,EPI_ISL_14686787|BM.1.1
 1,,,,,,,,EPI_ISL_15031199|XBB.1,EPI_ISL_14733822|BJ.1,EPI_ISL_14686933|BM.1
 1,,,,,,,,EPI_ISL_15031200|XBB.1,EPI_ISL_14733827|BJ.1,EPI_ISL_14722476|BM.1
 1,,,,,,,,EPI_ISL_15031201|XBB.1,EPI_ISL_14733978|BJ.1,EPI_ISL_14722576|BM.1
 1,,,,,,,,EPI_ISL_15031202|XBB.1,EPI_ISL_14734111|BJ.1,EPI_ISL_14722603|BM.1.1
 1,,,,,,,,EPI_ISL_15031899|XBB.1,EPI_ISL_14734114|BJ.1,EPI_ISL_14722604|BM.1.1
 1,,,,,,,,EPI_ISL_15036330|XBB,EPI_ISL_14734138|BJ.1,EPI_ISL_14722738|BM.1.1
 1,,,,,,,,EPI_ISL_15036923|XBB,EPI_ISL_14734143|BJ.1,EPI_ISL_14723184|BM.1
 1,,,,,,,,EPI_ISL_15090226|XBB,EPI_ISL_14750046|BJ.1,EPI_ISL_14726664|BM.1.1
 1,,,,,,,,EPI_ISL_15099328|XBB,EPI_ISL_14750054|BJ.1,EPI_ISL_14733015|BM.1
 1,,,,,,,,EPI_ISL_15101024|XBB.1,EPI_ISL_14810786|BJ.1,EPI_ISL_14733719|BM.1.1
 1,,,,,,,,EPI_ISL_15110234|XBB.1,EPI_ISL_14890493|BJ.1,EPI_ISL_14733722|BM.1
 1,,,,,,,,EPI_ISL_15127958|XBB.1,EPI_ISL_14891509|BJ.1,EPI_ISL_14733819|BM.1
 1,,,,,,,,EPI_ISL_15132914|XBB,EPI_ISL_14891517|BJ.1,EPI_ISL_14734130|BM.1.1
 1,,,,,,,,EPI_ISL_15146658|XBB,EPI_ISL_14891549|BJ.1,EPI_ISL_14750098|BM.1.1
 1,,,,,,,,EPI_ISL_15146813|XBB,EPI_ISL_14891585|BJ.1,EPI_ISL_14772418|BM.1
 1,,,,,,,,EPI_ISL_15146846|XBB,EPI_ISL_14891592|BJ.1,EPI_ISL_14785677|BM.1
 1,,,,,,,,EPI_ISL_15146876|XBB,EPI_ISL_14891620|BJ.1,EPI_ISL_14789216|BM.1.1
 1,,,,,,,,EPI_ISL_15148989|XBB,EPI_ISL_14891632|BJ.1,EPI_ISL_14796096|BM.1
 1,,,,,,,,EPI_ISL_15156158|XBB.1,EPI_ISL_14913530|BJ.1,EPI_ISL_14796139|BM.1
 1,,,,,,,,EPI_ISL_15157636|XBB.1,EPI_ISL_14914583|BJ.1,EPI_ISL_14796298|BM.1
 1,,,,,,,,EPI_ISL_15157637|XBB.1,EPI_ISL_14917666|BJ.1,EPI_ISL_14796338|BM.1
 1,,,,,,,,EPI_ISL_15157638|XBB.1,EPI_ISL_14917739|BJ.1,EPI_ISL_14797722|BM.1
 1,,,,,,,,EPI_ISL_15157639|XBB.1,EPI_ISL_14923255|BJ.1,EPI_ISL_14797741|BM.1
 1,,,,,,,,EPI_ISL_15157640|XBB.1,EPI_ISL_14933770|BJ.1,EPI_ISL_14797759|BM.1
 1,,,,,,,,EPI_ISL_15157649|XBB.1,EPI_ISL_14981532|BJ.1,EPI_ISL_14797770|BM.1
 1,,,,,,,,EPI_ISL_15157650|XBB.1,EPI_ISL_14986875|BJ.1,EPI_ISL_14797859|BM.1
 1,,,,,,,,EPI_ISL_15157663|XBB.1,EPI_ISL_15016017|BJ.1,EPI_ISL_14797875|BM.1
 1,,,,,,,,EPI_ISL_15157664|XBB,EPI_ISL_15031886|BJ.1,EPI_ISL_14797879|BM.1
 1,,,,,,,,EPI_ISL_15157668|XBB.1,EPI_ISL_15031887|BJ.1,EPI_ISL_14807108|BM.1.1
 1,,,,,,,,EPI_ISL_15157670|XBB.1,EPI_ISL_15050448|BJ.1,EPI_ISL_14810694|BM.1
 1,,,,,,,,EPI_ISL_15157673|XBB.1,EPI_ISL_15051045|BJ.1,EPI_ISL_14810742|BM.1.1
 1,,,,,,,,EPI_ISL_15157674|XBB.1,EPI_ISL_15084126|BJ.1,EPI_ISL_14810744|BM.1.1
 1,,,,,,,,EPI_ISL_15157676|XBB.1,EPI_ISL_15092644|BJ.1,EPI_ISL_14810758|BM.1.1
 1,,,,,,,,EPI_ISL_15163735|XBB,EPI_ISL_15139300|BJ.1,EPI_ISL_14810833|BM.1.1
 1,,,,,,,,EPI_ISL_15165867|XBB,EPI_ISL_15146843|BJ.1,EPI_ISL_14822767|BM.1.1
 1,,,,,,,,EPI_ISL_15167930|XBB,EPI_ISL_15146906|BJ.1,EPI_ISL_14832208|BM.1.1
 1,,,,,,,,EPI_ISL_15168034|XBB,EPI_ISL_15153192|BJ.1,EPI_ISL_14833528|BM.1.1
 1,,,,,,,,EPI_ISL_15172943|XBB,EPI_ISL_15157644|BJ.1,EPI_ISL_14841050|BM.1.1
 1,,,,,,,,EPI_ISL_15172950|XBB,EPI_ISL_15157654|BJ.1,EPI_ISL_14841051|BM.1.1
 1,,,,,,,,EPI_ISL_15172955|XBB,EPI_ISL_15157656|BJ.1,EPI_ISL_14852550|BM.1.1
 1,,,,,,,,EPI_ISL_15172965|XBB,EPI_ISL_15157657|BJ.1,EPI_ISL_14861261|BM.1.1
